StudentID,StudentName,节点1收益,节点2收益,节点3收益,总收益,20好感礼物数,40好感礼物数,60好感礼物数,120好感礼物数,180好感礼物数,240好感礼物数,节点1推荐顺序,节点2推荐顺序,节点3推荐顺序
10000,爱露,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,蒲公英->花->其它花->光芒,花->灿烂->闪亮
10001,艾米,20.3459,18.7773,57.9706,97.0938,1.8024,0.2417,0.0592,0.2207,0.0184,0.0000,花->光芒,蒲公英->玫瑰->花->其它花,花->灿烂->闪亮
10002,晴奈,19.6192,18.5533,58.0683,96.2408,2.0288,0.0000,0.0745,0.2207,0.0000,0.0184,花->光芒,木莲花->花->其它花->光芒,花->灿烂->闪亮
10003,日富美,19.8009,18.4530,58.3198,96.5737,1.9749,0.0641,0.0643,0.2207,0.0000,0.0184,花->光芒,牵牛花->牡丹->花->其它花,花->灿烂->闪亮
10004,日奈,19.6192,18.0967,58.0683,95.7841,2.0440,0.0000,0.0593,0.2207,0.0000,0.0184,花->光芒,蒲公英->花->其它花->光芒,花->灿烂->闪亮
10005,星野,19.6192,18.0967,60.2757,97.9916,2.0440,0.0000,0.0593,0.2024,0.0000,0.0368,花->光芒,蒲公英->花->其它花->光芒,花->灿烂->闪亮
10006,伊织,20.3459,18.7440,57.9706,97.0605,1.8057,0.2384,0.0592,0.2207,0.0184,0.0000,花->光芒,水仙花->樱花->花->其它花,花->灿烂->闪亮
10007,真纪,20.3459,18.6658,57.9706,96.9823,1.8118,0.2332,0.0583,0.2207,0.0184,0.0000,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
10008,妮露,20.3459,18.6658,57.9706,96.9823,1.8118,0.2332,0.0583,0.2207,0.0184,0.0000,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
10009,泉,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
10010,白子,19.8009,18.4596,57.2160,95.4766,1.9745,0.0644,0.0644,0.2207,0.0184,0.0000,花->光芒,牵牛花->花->其它花->光芒,花->灿烂->闪亮
10011,瞬,19.9825,18.5012,57.4676,95.9514,1.9203,0.1220,0.0610,0.2207,0.0184,0.0000,花->光芒,樱花->花->其它花->光芒,花->灿烂->闪亮
10012,堇,19.8009,18.4596,57.2160,95.4766,1.9745,0.0644,0.0644,0.2207,0.0184,0.0000,花->光芒,牵牛花->花->其它花->光芒,花->灿烂->闪亮
10013,鹤城,19.6192,18.0460,58.0683,95.7335,2.0457,0.0000,0.0576,0.2207,0.0000,0.0184,花->光芒,郁金香->花->其它花->光芒,花->灿烂->闪亮
13000,茜,19.6192,18.5533,56.9645,95.1370,2.0288,0.0000,0.0745,0.2207,0.0184,0.0000,花->光芒,金盏花->花->其它花->光芒,花->灿烂->闪亮
13001,千世,20.5275,18.7617,58.2221,97.5113,1.7575,0.2882,0.0576,0.2207,0.0184,0.0000,花->光芒,郁金香->花->其它花->光芒,花->灿烂->闪亮
13002,明里,19.8009,18.4031,58.3198,96.5238,1.9799,0.0591,0.0643,0.2207,0.0000,0.0184,花->光芒,百合花->水仙花->花->其它花,花->灿烂->闪亮
13003,莲见,20.3459,18.7773,57.9706,97.0938,1.8024,0.2417,0.0592,0.2207,0.0184,0.0000,花->光芒,水仙花->百合花->花->其它花,花->灿烂->闪亮
13004,野宫,19.9825,18.5012,57.4676,95.9514,1.9203,0.1220,0.0610,0.2207,0.0184,0.0000,花->光芒,樱花->花->其它花->光芒,花->灿烂->闪亮
13005,佳代子,19.9825,18.6127,57.4676,96.0628,1.9157,0.1234,0.0643,0.2207,0.0184,0.0000,花->光芒,玫瑰->蒲公英->花->其它花,花->灿烂->闪亮
13006,睦月,21.0725,19.4091,58.9767,99.4583,1.6803,0.3648,0.0000,0.2207,0.0184,0.0000,花->光芒,紫薇花->桔梗花->花->蒲公英,花->灿烂->闪亮
13007,纯子,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
13008,芹香,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,蒲公英->花->其它花->光芒,花->灿烂->闪亮
13009,椿,19.8009,18.4596,59.4235,97.6840,1.9745,0.0644,0.0644,0.2024,0.0184,0.0184,花->光芒,牡丹->花->其它花->光芒,花->灿烂->闪亮
13010,优香,19.6192,18.0662,60.2757,97.9612,2.0450,0.0000,0.0583,0.2024,0.0000,0.0368,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
16000,春香,19.9825,18.8488,57.4676,96.2989,1.9121,0.1169,0.0743,0.2207,0.0184,0.0000,花->光芒,桔梗花->蒲公英->紫薇花->花,花->灿烂->闪亮
16001,明日奈,19.9825,18.5012,59.6750,98.1588,1.9203,0.1220,0.0610,0.2024,0.0184,0.0184,花->光芒,樱花->花->其它花->光芒,花->灿烂->闪亮
16002,琴里,20.7092,19.0596,60.6811,100.4499,1.6842,0.3616,0.0575,0.2024,0.0184,0.0184,花->光芒,郁金香->杜鹃花->花->其它花,花->灿烂->闪亮
16003,铃美,19.6192,18.0662,58.0683,95.7537,2.0450,0.0000,0.0583,0.2207,0.0000,0.0184,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
16004,菲娜,19.6192,18.2489,58.0683,95.9363,2.0389,0.0000,0.0644,0.2207,0.0000,0.0184,花->光芒,百合花->花->其它花->光芒,花->灿烂->闪亮
20000,响,19.8009,18.4596,57.2160,95.4766,1.9745,0.0644,0.0644,0.2207,0.0184,0.0000,花->光芒,玫瑰->花->其它花->光芒,花->灿烂->闪亮
20001,花凛,19.6192,18.0662,58.0683,95.7537,2.0450,0.0000,0.0583,0.2207,0.0000,0.0184,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
20002,纱绫,19.8009,18.6909,57.2160,95.7079,1.9715,0.0575,0.0744,0.2207,0.0184,0.0000,花->光芒,杜鹃花->郁金香->花->其它花,花->灿烂->闪亮
23000,爱理,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
23001,风香,19.6192,18.5533,56.9645,95.1370,2.0288,0.0000,0.0745,0.2207,0.0184,0.0000,花->光芒,金盏花->花->其它花->光芒,花->灿烂->闪亮
23002,花江,19.9825,18.5012,57.4676,95.9514,1.9203,0.1220,0.0610,0.2207,0.0184,0.0000,花->光芒,樱花->花->其它花->光芒,花->灿烂->闪亮
23003,晴,19.9825,18.4503,58.5713,97.0042,1.9181,0.1278,0.0574,0.2207,0.0000,0.0184,花->光芒,郁金香->牵牛花->玫瑰->花,花->灿烂->闪亮
23004,歌原,19.6192,18.0662,58.0683,95.7537,2.0450,0.0000,0.0583,0.2207,0.0000,0.0184,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
23005,绫音,20.5275,18.7617,58.2221,97.5113,1.7575,0.2882,0.0576,0.2207,0.0184,0.0000,花->光芒,郁金香->花->其它花->光芒,花->灿烂->闪亮
26000,千夏,20.5275,18.7617,60.4296,99.7188,1.7575,0.2882,0.0576,0.2024,0.0184,0.0184,花->光芒,郁金香->花->其它花->光芒,花->灿烂->闪亮
26001,小玉,20.3459,18.6658,57.9706,96.9823,1.8118,0.2332,0.0583,0.2207,0.0184,0.0000,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
26002,朱莉,19.6192,18.0662,58.0683,95.7537,2.0450,0.0000,0.0583,0.2207,0.0000,0.0184,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
26003,芹娜,19.6192,18.2489,60.2757,98.1438,2.0389,0.0000,0.0644,0.2024,0.0000,0.0368,花->光芒,牡丹->花->其它花->光芒,花->灿烂->闪亮
26004,志美子,20.5275,18.7617,58.2221,97.5113,1.7575,0.2882,0.0576,0.2207,0.0184,0.0000,花->光芒,郁金香->花->其它花->光芒,花->灿烂->闪亮
26005,好美,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
20003,真白,19.8009,18.3016,58.3198,96.4223,1.9833,0.0591,0.0609,0.2207,0.0000,0.0184,花->光芒,樱花->水仙花->花->其它花,花->灿烂->闪亮
10014,泉奈,19.6192,18.5533,56.9645,95.1370,2.0288,0.0000,0.0745,0.2207,0.0184,0.0000,花->光芒,木莲花->花->其它花->光芒,花->灿烂->闪亮
23006,静子,19.6192,18.5533,56.9645,95.1370,2.0288,0.0000,0.0745,0.2207,0.0184,0.0000,花->光芒,杜鹃花->花->其它花->光芒,花->灿烂->闪亮
10015,爱丽丝,19.9825,18.4503,58.5713,97.0042,1.9181,0.1278,0.0574,0.2207,0.0000,0.0184,花->光芒,郁金香->牵牛花->玫瑰->花,花->灿烂->闪亮
10016,绿,19.6192,18.2489,58.0683,95.9363,2.0389,0.0000,0.0644,0.2207,0.0000,0.0184,花->光芒,牡丹->花->其它花->光芒,花->灿烂->闪亮
13011,桃,19.9825,18.5878,58.5713,97.1416,1.9179,0.1213,0.0642,0.2207,0.0000,0.0184,花->光芒,玫瑰->牵牛花->郁金香->花,花->灿烂->闪亮
10017,切里诺,20.7092,19.1624,58.4736,98.3452,1.6773,0.3669,0.0592,0.2207,0.0184,0.0000,花->光芒,蒲公英->桔梗花->花->水仙花,花->灿烂->闪亮
26006,和香,20.3459,18.6958,57.9706,97.0123,1.8084,0.2368,0.0581,0.2207,0.0184,0.0000,花->光芒,水仙花->紫薇花->花->其它花,花->灿烂->闪亮
10018,柚子,20.1642,18.7965,57.7191,96.6798,1.8540,0.1851,0.0643,0.2207,0.0184,0.0000,花->光芒,玫瑰->牵牛花->花->郁金香,花->灿烂->闪亮
10019,梓,20.1642,18.7680,57.7191,96.6513,1.8440,0.2014,0.0579,0.2207,0.0184,0.0000,花->光芒,木莲花->紫薇花->牡丹->牵牛花,花->灿烂->闪亮
23007,花子,21.0725,19.2259,58.9767,99.2751,1.6991,0.2876,0.1166,0.2207,0.0184,0.0000,花->光芒,郁金香->蒲公英->花->其它花,花->灿烂->闪亮
10020,小春,20.7092,19.0606,58.4736,98.2435,1.8057,0.1792,0.1183,0.2207,0.0184,0.0000,花->光芒,樱花->郁金香->花->其它花,花->灿烂->闪亮
10021,梓（泳装）,20.5275,19.3854,59.3258,99.2387,1.8440,0.1273,0.1321,0.2207,0.0000,0.0184,花->光芒,翡翠花->紫薇花->牡丹->牵牛花,花->灿烂->闪亮
20004,真白（泳装）,20.3459,19.1886,59.0743,98.6088,1.9095,0.0606,0.1333,0.2207,0.0000,0.0184,花->光芒,翡翠花->水仙花->樱花->花,花->灿烂->闪亮
16005,鹤城（泳装）,20.1642,18.9737,58.8228,97.9607,1.9715,0.0000,0.1319,0.2207,0.0000,0.0184,花->光芒,翡翠花->郁金香->花->其它花,花->灿烂->闪亮
20005,日富美（泳装）,20.3459,19.3711,59.0743,98.7913,1.9012,0.0638,0.1383,0.2207,0.0000,0.0184,花->光芒,翡翠花->牵牛花->牡丹->花,花->灿烂->闪亮
10022,日奈（泳装）,20.1642,19.0235,58.8228,98.0106,1.9698,0.0000,0.1335,0.2207,0.0000,0.0184,花->光芒,翡翠花->蒲公英->花->其它花,花->灿烂->闪亮
10023,伊织（泳装）,20.8908,19.6591,58.7251,99.2751,1.7325,0.2376,0.1333,0.2207,0.0184,0.0000,花->光芒,翡翠花->水仙花->樱花->花,花->灿烂->闪亮
16006,泉（泳装）,20.7092,19.4976,58.4736,98.6804,1.7924,0.1774,0.1335,0.2207,0.0184,0.0000,花->光芒,翡翠花->水仙花->花->其它花,花->灿烂->闪亮
10024,白子（骑行）,19.9825,18.5096,57.4676,95.9597,1.9157,0.1285,0.0591,0.2207,0.0184,0.0000,花->光芒,牵牛花->蒲公英->花->其它花,花->灿烂->闪亮
